residuals = [-4.88113 ; 0, 0, 0, 2.38555, 0, 1.15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.485904, 0, 1, 0, -164.693, -54.1956, 305.199, 825.313, -17.8341]
residuals = [-5.17643 ; 0, 0, 0, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -103.346, -34.0079, 530.456, 305.199, -11.191]
residuals = [-2.57937 ; 0, -45.3359, 0, 2.38555, 0, 0.871843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.365468, 0, 1, 0, -85.2748, -19.3177, 229.553, 508.478, -4.37612]
residuals = [-5.99662 ; 0, -37.8232, 124.049, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -71.1439, -16.1165, 424.844, 229.553, -3.65095]
residuals = [-1.8187 ; 0, -60.7919, 0, 2.38555, 0, 0.584537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.245032, 0, 1, 0, -38.6167, -5.90869, 153.906, 281.283, -0.904079]
residuals = [-3.32554 ; 0, -75.6465, 248.098, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -48.0528, -7.35249, 349.112, 153.906, -1.12499]
residuals = [-1.71879 ; 0, -46.3681, 0, 2.38555, 0, 0.297231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.124596, 0, 1, 0, -13.9232, -1.51056, 78.2598, 143.727, -0.163884]
residuals = [-4.66612 ; 0, -113.47, 372.146, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -34.0723, -3.69657, 303.26, 78.2598, -0.401048]
residuals = [-1.57677 ; 0, -2.06445, 0, 2.38555, 0, 0.00992526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00416057, 0, 1, 0, -0.398477, -0.0370524, 2.61328, 95.8103, -0.00344532]
residuals = [-3.52119 ; 0, -151.293, 496.195, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -29.2023, -2.71537, 287.288, 2.61328, -0.252489]
residuals = [-3.7257 ; 0, 72.119, 0, 2.38555, 0, -0.277381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.116275, 0, 1, 0, 12.7533, 1.35807, -73.0332, 137.533, 0.144618]
residuals = [-4.21238 ; 0, -189.116, 620.244, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -33.4428, -3.56125, 301.196, -73.0332, -0.379229]
residuals = [-0.187738 ; 0, 176.182, 0, 2.38555, 0, -0.564687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.236711, 0, 1, 0, 36.328, 5.41286, -148.68, 268.896, 0.806516]
residuals = [-5.05332 ; 0, -226.939, 744.293, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -46.7939, -6.97228, 344.983, -148.68, -1.03887]
residuals = [-12.1389 ; 0, 310.125, 0, 2.38555, 0, -0.851993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.357147, 0, 1, 0, 81.1213, 17.889, -224.326, 489.898, 3.94491]
residuals = [-5.05332 ; 0, -264.763, 868.342, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -69.2555, -15.2723, 418.651, -224.326, -3.36788]
residuals = [-7.09009 ; 0, 473.948, 0, 2.38555, 0, -1.1393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.477582, 0, 1, 0, 157.929, 50.7035, -299.973, 800.539, 16.2785]
residuals = [-7.05332 ; 0, -302.586, 992.391, 0, 2.38555, 0.72737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.304906, 0, 1, -100.828, -32.371, 522.198, -299.973, -10.3928]
residuals = [-3.04439 ; 60.2758, 0, -124.049, 2.38555, 0, 1.15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.485904, 0, 1, 0, -135.196, -36.5206, 184.648, 764.606, -9.86537]
residuals = [-6.22881 ; 22.8833, 0, 0, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -51.3262, -13.8648, 348.336, 184.648, -3.74533]
residuals = [-1.14248 ; 45.3359, -45.3359, -124.049, 2.38555, 0, 0.871843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.365468, 0, 1, 0, -63.0885, -10.5734, 138.881, 447.771, -1.77206]
residuals = [-4.02953 ; 22.8833, -22.8833, 124.049, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -31.844, -5.33693, 242.724, 138.881, -0.894448]
residuals = [-0.692782 ; 30.3959, -60.7919, -124.049, 2.38555, 0, 0.584537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.245032, 0, 1, 0, -23.7417, -2.23338, 93.1144, 220.576, -0.210094]
residuals = [-5.45647 ; 22.8833, -45.7667, 248.098, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -17.8737, -1.68138, 166.993, 93.1144, -0.158168]
residuals = [0.279686 ; 15.456, -46.3681, -124.049, 2.38555, 0, 0.297231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.124596, 0, 1, 0, -6.35942, -0.315132, 47.3477, 83.0201, -0.0156159]
residuals = [-4.33659 ; 22.8833, -68.65, 372.146, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -9.4154, -0.466567, 121.141, 47.3477, -0.02312]
residuals = [-1.6616 ; 0.516113, -2.06445, -124.049, 2.38555, 0, 0.00992526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00416057, 0, 1, 0, -0.145903, -0.0049675, 1.58105, 35.1037, -0.000169127]
residuals = [-4.70934 ; 22.8833, -91.5333, 496.195, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -6.46901, -0.220248, 105.168, 1.58105, -0.00749871]
residuals = [-2.44066 ; -14.4238, 72.119, -124.049, 2.38555, 0, -0.277381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.116275, 0, 1, 0, 5.69466, 0.270777, -44.1856, 76.8268, 0.0128752]
residuals = [-4.41045 ; 22.8833, -114.417, 620.244, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -9.03457, -0.429587, 119.076, -44.1856, -0.0204265]
residuals = [-4.7102 ; -29.3637, 176.182, -124.049, 2.38555, 0, -0.564687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.236711, 0, 1, 0, 21.9581, 1.97757, -89.9523, 208.189, 0.178103]
residuals = [-4.58257 ; 22.8833, -137.3, 744.293, 0, 2.38555, 0.440064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.18447, 0, 1, -17.1121, -1.54114, 162.864, -89.9523, -0.138797]
residuals = [-6.27099 ; -44.3036, 310.125, -124.049, 2.38555, 0, -0.851993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.357147, 0, 1, 0, 59.4401, 9.60452, -135.719, 429.191, 1.55193]
